Date,East Coast,New England (PADD 1A),Central Atlantic (PADD 1B),Lower Atlantic (PADD 1C),Midwest,Gulf Coast,Rocky Mountain,West Coast,West Coast (PADD 5)
1993,,,,,,,,,
1994,1.061,1.101,1.105,1.035,1.058,1.06,1.141,1.177,
1995,1.176,1.25,1.228,1.136,1.11,1.159,1.179,1.251,
1996,1.243,1.315,1.285,1.208,1.215,1.227,1.275,1.36,
1997,1.25,1.33,1.296,1.211,1.205,1.217,1.298,1.375,
1998,1.061,1.117,1.103,1.028,1.047,1.032,1.136,1.199,
1999,1.148,1.204,1.192,1.115,1.143,1.12,1.245,1.374,1.326
2000,1.508,1.576,1.56,1.467,1.504,1.456,1.554,1.674,1.625
2001,1.43,1.505,1.489,1.373,1.447,1.371,1.49,1.626,1.55
2002,1.372,1.419,1.412,1.33,1.365,1.319,1.396,1.507,1.411
2003,1.588,1.645,1.639,1.534,1.548,1.5,1.609,1.82,1.715
2004,1.892,1.922,1.932,1.853,1.831,1.789,1.888,2.11,2.004
2005,2.326,2.324,2.352,2.306,2.248,2.235,2.306,2.48,2.409
2006,2.631,2.654,2.68,2.588,2.547,2.524,2.599,2.804,2.709
2007,2.823,2.84,2.856,2.794,2.816,2.717,2.842,3.053,2.922
2008,3.316,3.302,3.346,3.297,3.225,3.188,3.262,3.498,3.383
2009,2.399,2.414,2.437,2.366,2.342,2.28,2.333,2.662,2.544
2010,2.824,2.864,2.859,2.787,2.779,2.702,2.815,3.083,2.98
2011,3.587,3.666,3.629,3.535,3.532,3.423,3.465,3.792,3.659
2012,3.695,3.785,3.763,3.618,3.605,3.479,3.552,3.984,3.805
2013,3.599,3.692,3.654,3.532,3.515,3.374,3.481,3.831,3.642
2014,3.47,3.547,3.533,3.401,3.36,3.216,3.394,3.706,3.545
2015,2.483,2.507,2.559,2.42,2.411,2.256,2.481,3.042,2.709
2016,2.252,2.255,2.312,2.206,2.143,2.024,2.212,2.646,2.395
2017,2.533,2.532,2.639,2.455,2.405,2.295,2.498,2.948,2.704
2018,2.768,2.826,2.89,2.671,2.667,2.532,2.867,3.378,3.105
2019,2.589,2.647,2.725,2.488,2.541,2.353,2.736,3.427,3.087
2020,2.199,2.229,2.354,2.093,2.085,1.924,2.348,2.915,2.625
2021,3.007,3.029,3.145,2.915,2.944,2.763,3.285,3.803,3.417
